Nama Barbershop,Rating,Jumlah Ulasan,Kategori,Alamat,Status Operasional,
David barbershop,N/A,0,Salon Rambut,Jl. Pahlawan,Buka Rab 08.30,https://www.google.com/maps/search/David barbershop+Kupang
DiZett Barbershop,4.7,15,Tempat Cukur Rambut,RJP9+WH7,Buka Rab 09.00,https://www.google.com/maps/search/DiZett Barbershop+Kupang
El NiNo Barbershop,4,1,Kantor Perusahaan,RJXM+2P6,Tutup 22.51,https://www.google.com/maps/search/El NiNo Barbershop+Kupang
ElArJu Barbershop & Online shop,N/A,0,Tempat Cukur Rambut,Jl. Alfons Nisnoni,Tutup 22.00,https://www.google.com/maps/search/ElArJu Barbershop & Online shop+Kupang
Eleven Barbershop,4.5,2,Salon Rambut,Jl. Farmasi No.12,N/A,https://www.google.com/maps/search/Eleven Barbershop+Kupang
Etho Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Soverdi,N/A,https://www.google.com/maps/search/Etho Barbershop+Kupang
FanRel Barbershop,5,1,Salon Rambut,Jl. Bhakti Besi No.01,Buka Rab 00.09,https://www.google.com/maps/search/FanRel Barbershop+Kupang
Forah Barbershop,3.5,2,Tempat Cukur Rambut,Jl. Prof. Dr. Herman Johanes No.88,Buka Rab 09.00,https://www.google.com/maps/search/Forah Barbershop+Kupang
Freedombarber's,4,6,Salon Rambut,Jl. HTI Maulafa,Buka Rab 08.00,https://www.google.com/maps/search/Freedombarber's+Kupang
Fries Barbershop,5,1,Hotel,Jl. W.J. Lalamentik,N/A,https://www.google.com/maps/search/Fries Barbershop+Kupang
G R E M ' S BARBERSHOP,5,3,Tempat Cukur Rambut,Jl. Sumatera,Buka Rab 10.00,https://www.google.com/maps/search/G R E M ' S BARBERSHOP+Kupang
Gaul Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan I,Tutup 22.00,https://www.google.com/maps/search/Gaul Barbershop+Kupang
Gentle-Man Barbershop,3.8,11,Salon Rambut,Jl. Fetor Funay,Tutup 22.00,https://www.google.com/maps/search/Gentle-Man Barbershop+Kupang
Gentlemen's Barbershop Sumatera,N/A,0,Tempat Cukur Rambut,Jl. Sumatera,N/A,https://www.google.com/maps/search/Gentlemen's Barbershop Sumatera+Kupang
GOOD BARBERSHOP,5,3,Tempat Cukur Rambut,Jl. Shopping Centre,Tutup 22.00,https://www.google.com/maps/search/GOOD BARBERSHOP+Kupang
Goots Mini Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Kesekrom No.4,Buka 24 Jam,https://www.google.com/maps/search/Goots Mini Barbershop+Kupang
Grachio Barbershop,5,3,Tempat Cukur Rambut,Jl. Bajawa,Tutup 22.00,https://www.google.com/maps/search/Grachio Barbershop+Kupang
Grevlin Barbershop,4.3,10,Tempat Cukur Rambut,RJPF+794,Buka Rab 10.00,https://www.google.com/maps/search/Grevlin Barbershop+Kupang
Growmen salon,5,59,Tempat Cukur Rambut,jln. banteng mapoli kel,Buka Rab 10.00,https://www.google.com/maps/search/[Growmen salon]+Kupang
Ichat barbershop,5,1,Salon Rambut,Jl. TDM II,N/A,https://www.google.com/maps/search/[Ichat barbershop]+Kupang
Icky BARBERSHOP,4.5,2,Tempat Cukur Rambut,RJJC+P4F,Buka Rab 09.00,https://www.google.com/maps/search/[Icky BARBERSHOP]+Kupang
J1 BARBERSHOP,4.7,3,Tempat Cukur Rambut,Jl. Fetor Funay No.8,Buka Rab 09.00,https://www.google.com/maps/search/[J1 BARBERSHOP]+Kupang
Jhian Barbershop,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan I,Buka 24 Jam,https://www.google.com/maps/search/[Jhian Barbershop]+Kupang
JM BARBERSHOP 2018,4.5,26,Tempat Cukur Rambut,Jl. W. Monginsidi III,Buka Rab 09.00,https://www.google.com/maps/search/[JM BARBERSHOP 2018]+Kupang
JOKER BARBERSHOP,5,1,Salon Rambut,Jl. Banteng,N/A,https://www.google.com/maps/search/[Nama+Barbershop]+Kupang
JR BARBERSHOP,5,4,Tempat Cukur Rambut,Jl. Frans Seda,Buka Rab 09.00,https://www.google.com/maps/search/[JOKER BARBERSHOP]+Kupang
KAIROS BARBERSHOP,N/A,0,Tempat Cukur Rambut,Jl. Swakarya II,Tutup 22.00,https://www.google.com/maps/search/[KAIROS BARBERSHOP]+Kupang
Keluar-Keluar Ganteng Barbershop,5,3,Tempat Cukur Rambut,N/A,Buka Rab 09.00,https://www.google.com/maps/search/[Keluar-Keluar Ganteng Barbershop]+Kupang
KEY BARBERSHOP,4.8,25,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan I No.5,Tutup 22.00,https://www.google.com/maps/search/[KEY BARBERSHOP]+Kupang
King Barber Shop,4,1,Tempat Cukur Rambut,Jl. H.R. Koroh No.168,N/A,https://www.google.com/maps/search/[King Barber Shop]+Kupang
KING BARBERSHOP,4.7,70,Tempat Cukur Rambut,Jl. W.J. Lalamentik,Buka Rab 10.00,https://www.google.com/maps/search/[KING BARBERSHOP]+Kupang
Koe Barbershop,4,4,Tempat Cukur Rambut,Jl. Dua Lontar,Buka Rab 08.00,https://www.google.com/maps/search/[Koe Barbershop]+Kupang
Koe Barbershop (Bumi I),4,3,Tempat Cukur Rambut,Jl. Bumi I,Tutup 22.00,https://www.google.com/maps/search/[Koe Barbershop (Bumi I)]+Kupang
Lapan Lapan Barbershop Cabang Oebufu,4.6,112,Tempat Cukur Rambut,Jl. W.J. Lalamentik No.117,Buka Rab 09.00,https://www.google.com/maps/search/[Lapan Lapan Barbershop Cabang Oebufu]+Kupang
Lapan lapan barbershop cabang merdeka,4.8,66,Tempat Cukur Rambut,N/A,Buka Rab 09.00,https://www.google.com/maps/search/[Lapan lapan barbershop cabang merdeka]+Kupang
Lapanlapan Barbershop,4.8,64,Tempat Cukur Rambut,Jl. Shopping Centre No.33,Buka Rab 09.00,https://www.google.com/maps/search/[Lapanlapan Barbershop]+Kupang
LC BARBERSHOP,N/A,0,Tempat Cukur Rambut,Jl. Prof. Dr. Herman Johanes,Tutup 22.00,https://www.google.com/maps/search/[LC BARBERSHOP]+Kupang
Locker barbershop,5,2,Tempat Cukur Rambut,Jl. W.J. Lalamentik No.66,N/A,https://www.google.com/maps/search/[Locker barbershop]+Kupang
Lordez Barbershop,N/A,0,Salon Rambut,99QC+287,N/A,https://www.google.com/maps/search/[Lordez Barbershop]+Kupang
LUXURY barbershop,5,4,Tempat Cukur Rambut,Jl. Nangka No.38,Buka Rab 09.00,https://www.google.com/maps/search/[LUXURY barbershop]+Kupang
MANLIEST BARBERSHOP,4.8,62,Tempat Cukur Rambut,Jl. Gunung Mutis No.31,Buka Rab 10.00,https://www.google.com/maps/search/[MANLIEST BARBERSHOP]+Kupang
MANLIEST BARBERSHOP OEBUFU,4.4,96,Tempat Cukur Rambut,Jl. W.J. Lalamentik,Buka Rab 10.00,https://www.google.com/maps/search/[MANLIEST BARBERSHOP OEBUFU]+Kupang
MANLIEST BARBERSHOP PASIR PANJANG,4.6,252,Tempat Cukur Rambut,Jl. Terusan Timor Raya No.120 A,Buka Rab 10.00,https://www.google.com/maps/search/[MANLIEST BARBERSHOP PASIR PANJANG]+Kupang
Manoah Barbershop Cab. Kelapa Lima,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan,Buka Rab 09.00,https://www.google.com/maps/search/[Manoah Barbershop Cab. Kelapa Lima]+Kupang
Max Salon,4.5,78,Salon Rambut,Jl. W.J. Lalamentik,N/A,https://www.google.com/maps/search/[Max Salon]+Kupang
ML Barbershop,5,14,Tempat Cukur Rambut,Jl. Samratulangi No.3,Buka Rab 09.00,https://www.google.com/maps/search/[ML Barbershop]+Kupang
MMS BARBERSHOP,3,2,Toko Peralatan Pangkas Rambut,Jl. K. H. Ahmad Dahlan No.19,Buka Rab 08.00,https://www.google.com/maps/search/[MMS BARBERSHOP]+Kupang
Mr. Seven's Barbershop,N/A,0,Salon Rambut,Jl. Palapa No.25,Tutup 22.00,https://www.google.com/maps/search/[Mr. Seven's Barbershop]+Kupang
Namas hair salon,4.9,881,Salon Rambut,Jl. Frans Seda No.16,Buka Rab 10.00,https://www.google.com/maps/search/[Namas hair salon]+Kupang
nio x barbershop,5,9,Tempat Cukur Rambut,Jl. Noelmina No.2kel,Tutup Rab 08.00,https://www.google.com/maps/search/[nio x barbershop]+Kupang
Obed Barbershop,5,1,Tempat Cukur Rambut,Jl. Bhakti Karang No.88x,Buka Rab 09.30,https://www.google.com/maps/search/[Obed Barbershop]+Kupang
Panda Barbershop,N/A,0,Tempat Cukur Rambut,Jl. W. Monginsidi III No.6,Tutup 22.00,https://www.google.com/maps/search/[Panda Barbershop]+Kupang
Pangkas Rambut & Toko Perabot (Display),4.9,22,Tempat Cukur Rambut,Jl. H.R. Koroh RT.027/RW.011,Tutup 22.00,https://www.google.com/maps/search/[Pangkas Rambut & Toko Perabot (Display)]+Kupang
Pangkas Rambut FM,4.8,34,Tempat Cukur Rambut,Jl. W.J. Lalamentik No.47,N/A,https://www.google.com/maps/search/[Pangkas Rambut FM]+Kupang
Pangkas Rambut Victory,4.1,31,Tempat Cukur Rambut,Jl. Jend. Soeharto,Buka Rab 09.00,https://www.google.com/maps/search/[Pangkas Rambut Victory]+Kupang
Papa2G Barbershop,5,1,Salon Rambut,Jl. Terusan Timor Raya No.10,Tutup 21.30,https://www.google.com/maps/search/[Papa2G Barbershop]+Kupang
Peak Barbershop and Beauty Salon,4.7,11,Salon Kecantikan,Jl. Perintis Kemerdekaan I,Buka Rab 09.00,https://www.google.com/maps/search/[Peak Barbershop and Beauty Salon]+Kupang
PJR Barbershop,5,1,Tempat Cukur Rambut,RJR8+W76,N/A,https://www.google.com/maps/search/[PJR Barbershop]+Kupang
REGIANO NALLE BARBERSHOP,5,3,Tempat Cukur Rambut,Jl. Kamboja,Buka Rab 10.00,https://www.google.com/maps/search/[REGIANO NALLE BARBERSHOP]+Kupang
Redix BarberShop,4.8,18,Tempat Cukur Rambut,Jl. Yos Sudarso,Tutup 22.15,https://www.google.com/maps/search/[Redix BarberShop]+Kupang
Rock&roll barbershop,N/A,0,Tempat Cukur Rambut,Jl. Samratulangi,Buka 21.00,https://www.google.com/maps/search/[Rock&roll barbershop]+Kupang
Ropesjo Barbershop,5,2,Kantor Perusahaan,Jl. Swakarya II,Buka Rab 08.30,https://www.google.com/maps/search/[Ropesjo Barbershop]+Kupang
